wallet_id,txn_count,total_usd,repays,borrows,liquidates,unique_assets,active_days,txns_per_day,borrow_to_repay,avg_txn_value_usd,liq_rate,repay_rate,wallet_lifetime_days,usd_pct,txn_pct,repay_pct,liq_pct,activity_pct,final_score,cluster,ml_score,blended_score
0x00000000af5a61acaf76190794e3fdf1289288a1,89,89056.13012823582,49,0,0,6,133,0.6691729323308271,0.0,1000.6306755981552,0.0,49.0,133,0.9401512904182735,0.9879115989320676,0.9935849896173242,0.500037080984871,0.9738826263225552,96.84,3,33.33333333333333,71.43733333333333
0x00000000b1786c9698c160d78232c78d6f6474fe,28,28882.158016713514,28,0,0,5,33,0.8484848484848485,0.0,1031.505643454054,0.0,28.0,33,0.8937258973598339,0.953908335805399,0.9885419756748739,0.500037080984871,0.945392069613369,93.37,3,33.33333333333333,69.35533333333333
0x000000aaee6a496aaf7b7452518781786313400f,521,8405290.753636757,138,157,0,6,262,1.9885496183206106,1.1376811594202898,16132.995688362298,0.0,0.8789808917197452,262,0.9984425986354197,0.999035894393355,0.9981459507564521,0.500037080984871,0.9985414812617422,99.84,3,33.33333333333333,73.23733333333332
0x00000a6bbb35ea3f6f8dbc94801738f490c30a8d,4,12.105310619175558,0,0,0,1,36,0.1111111111111111,0.0,3.0263276547938895,0.0,0.0,36,0.18065855829130822,0.6532927914565411,0.38560516167309405,0.500037080984871,0.4065188371403144,27.79,0,0.0,16.674
0x000206732258d7511fa624127228e6a032718e62,1,258.23612111262736,0,0,0,1,1,1.0,0.0,258.23612111262736,0.0,0.0,1,0.5040047463660635,0.14869474933254226,0.38560516167309405,0.500037080984871,0.3461015524572333,20.44,0,0.0,12.264000000000001
0x0004d2a2f9a823c1a585fde6514a17ff695e0001,1,10140.559404388063,0,0,0,1,1,1.0,0.0,10140.559404388063,0.0,0.0,1,0.8311331948976565,0.14869474933254226,0.38560516167309405,0.500037080984871,0.4551443686344309,33.71,0,0.0,20.226
0x0006e4548aed4502ec8c844567840ce6ef1013f5,329,2152029.95869376,203,59,0,7,324,1.0154320987654322,0.29064039408866993,6541.124494509909,0.0,3.440677966101695,324,0.994734500148324,0.9980717887867102,0.9989617324236132,0.500037080984871,0.9972560071195491,99.68,3,33.33333333333333,73.14133333333334
0x0007808d13026d3245351759abc4f90a7bdd50de,5,32.025068069890175,1,1,0,2,4,1.25,1.0,6.405013613978035,0.0,1.0,4,0.2861168792643133,0.715477603085138,0.8105532482942747,0.500037080984871,0.6040492435479087,51.83,0,0.0,31.098
0x000be263b3ceb55d22ed9b40d7619f62c4862c80,58,256476.0756386259,6,10,0,5,110,0.5272727272727272,1.6666666666666667,4422.001304114239,0.0,0.6,110,0.9710768318006526,0.980495401957876,0.9482349451201424,0.500037080984871,0.966602392959557,95.95,3,33.33333333333333,70.90333333333334
0x000ea36028ca0a4d56778c5333c3f164efd7e25c,2,3.7442973516659497,0,0,0,1,1,2.0,0.0,1.8721486758329748,0.0,0.0,1,0.10590329279145654,0.4037006822901216,0.38560516167309405,0.500037080984871,0.2984030455848907,14.63,0,0.0,8.778
0x00120ec799017bbab1049174ac3cd706260effc4,4,2011.8665232772528,0,0,0,2,43,0.09302325581395349,0.0,502.9666308193132,0.0,0.0,43,0.7031296351231089,0.6532927914565411,0.38560516167309405,0.500037080984871,0.5806758627509147,48.98,0,0.0,29.387999999999998
0x00164af1287c58d244049de5a6605b930e2cdd28,1,112.74829621447978,0,0,0,1,1,1.0,0.0,112.74829621447978,0.0,0.0,1,0.4197567487392465,0.14869474933254226,0.38560516167309405,0.500037080984871,0.3180188865816276,17.02,0,0.0,10.212
0x0025bf06ed84d1e4039eeb03274d8a211dfec4ac,2,49708.76775937544,0,0,0,1,1,2.0,0.0,24854.38387968772,0.0,0.0,1,0.9178285375259567,0.4037006822901216,0.38560516167309405,0.500037080984871,0.5690447938297242,47.57,0,0.0,28.541999999999998
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,12,5034.077736383228,3,3,0,4,263,0.045627376425855515,1.0,419.5064780319356,0.0,1.0,263,0.7782557104716701,0.8816374962919015,0.9068525660041531,0.500037080984871,0.8555819242559082,82.44,3,33.33333333333333,62.79733333333333
0x0029dc8d8ef8c287ad395732dbe5d5bf951da820,4,664.2118292763764,0,0,0,1,97,0.041237113402061855,0.0,166.0529573190941,0.0,0.0,97,0.5996736873331355,0.6532927914565411,0.38560516167309405,0.500037080984871,0.5461905468209235,44.79,0,0.0,26.874
0x002f9caf40a444f20813da783d152bdfaf42852f,16,89325.71253953633,0,0,0,4,116,0.13793103448275862,0.0,5582.85703372102,0.0,0.0,116,0.9403737763274993,0.9136383862355384,0.38560516167309405,0.500037080984871,0.7465391080787106,69.17,3,33.33333333333333,54.83533333333334
0x002fc216a6666b663add0bbfc8499d92431c06d7,2,6.26,0,0,0,1,1,2.0,0.0,3.13,0.0,0.0,1,0.13638386235538416,0.4037006822901216,0.38560516167309405,0.500037080984871,0.3085632354395333,15.87,0,0.0,9.521999999999998
0x0030148db0c220c5757b02b9984cfc46c7d70fa6,2,655.6026082239724,0,0,0,1,3,0.6666666666666666,0.0,327.8013041119862,0.0,0.0,3,0.5985612577870069,0.4037006822901216,0.38560516167309405,0.500037080984871,0.46262236725007416,34.62,0,0.0,20.772
0x0032061708483b10455972cd205f4951c0aa2949,2,7346.560670894043,0,0,0,1,7,0.2857142857142857,0.0,3673.2803354470216,0.0,0.0,7,0.8059922871551468,0.4037006822901216,0.38560516167309405,0.500037080984871,0.5317660437061208,43.03,0,0.0,25.818
